"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"07/29/2020","20","Good","Livermore","06-001-0007","AirNow"
"07/30/2020","26","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/31/2020","25","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/01/2020","20","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/02/2020","21","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/03/2020","36","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/04/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/05/2020","39","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/06/2020","36","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/07/2020","52","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/08/2020","44","Good","Oakland","06-001-0009","AirNow"
"08/09/2020","43","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/10/2020","33","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/11/2020","30","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/12/2020","28","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/13/2020","58","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/14/2020","54","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/15/2020","59","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"08/16/2020","69","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/17/2020","53","Moderate","Livermore","06-001-0007","AirNow"
"08/18/2020","63","Moderate","Livermore","06-001-0007","AirNow"
"08/19/2020","162","Unhealthy","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/20/2020","155","Unhealthy","Livermore","06-001-0007","AirNow"
"08/21/2020","148","Unhealthy for Sensitive Groups","Livermore","06-001-0007","AirNow"
"08/22/2020","135","Unhealthy for Sensitive Groups","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/23/2020","174","Unhealthy","Livermore","06-001-0007","AirNow"
"08/24/2020","156","Unhealthy","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/25/2020","93","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/26/2020","54","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/27/2020","38","Good","Livermore","06-001-0007","AirNow"
"08/28/2020","97","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"08/29/2020","79","Moderate","Livermore","06-001-0007","AirNow"
"08/30/2020","67","Moderate","Livermore","06-001-0007","AirNow"
"08/31/2020","74","Moderate","Oakland","06-001-0009","AirNow"
"09/01/2020","70","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"09/02/2020","62","Moderate","Pleasanton - Owens Ct","06-001-0015","AirNow"
"09/03/2020","95","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
